ProteinID,Gene,Description,parental_1 Intensity,parental_2 Intensity,parental_3 Intensity,SRB1_1 Intensity,SRB1_2 Intensity,SRB1_3 Intensity
A1L0T0,ILVBL,Acetolactate synthase-like protein,31.3628,31.0186,31.1641,31.1009,31.1371,32.3319
A1L170,C1orf226,Uncharacterized protein C1orf226,29.9619,30.3141,26.955,28.8965,28.7238,29.0445
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,29.9336,30.3844,30.5279,29.9723,30.1716,29.5691
A4D1E9,GTPBP10,GTP-binding protein 10,29.2517,29.4656,29.5069,29.7925,29.8213,29.934
A4D1P6,WDR91,WD repeat-containing protein 91,25.675,24.4129,24.356,26.3382,26.9942,25.7594
A5D8V6,VPS37C,Vacuolar protein sorting-associated protein 37C,26.8337,26.8171,26.9947,26.3411,23.8103,26.3101
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,28.5881,28.0594,28.8379,28.3868,27.9256,28.0306
A6NCE7,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,30.1465,30.0074,30.2997,31.613,31.393,31.524
A6NCS6,C2orf72,Uncharacterized protein C2orf72,32.2138,32.1936,32.2529,32.012,31.9052,32.4765
A6ND36,FAM83G,Protein FAM83G,26.0301,25.5775,25.8964,24.8156,26.5711,25.1817
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,30.8364,30.4849,30.8235,23.9568,27.2268,24.8474
A6NED2,RCCD1,RCC1 domain-containing protein 1,24.5918,25.7637,26.4773,25.3772,24.3074,23.8313
A6NFY7,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial",25.3246,24.8387,22.6397,26.1274,23.4862,26.0573
A6NH11,GLTPD2,Glycolipid transfer protein domain-containing protein 2,28.2569,27.8635,27.0652,29.2888,28.8802,28.9232
A6NHQ4,EPOP,Elongin BC and Polycomb repressive complex 2-associated protein,25.9271,26.8927,26.5346,28.0503,26.1758,26.2071
A6NHR9,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,30.5378,30.8504,30.2478,30.5141,30.8323,30.6686
A6NIH7,UNC119B,Protein unc-119 homolog B,26.8366,26.32,26.8641,25.4714,23.6352,25.7753
A6NJ78,METTL15,Probable methyltransferase-like protein 15,28.1022,27.1332,27.7717,29.4667,29.2326,28.8629
A6NK58,LIPT2,"Putative lipoyltransferase 2, mitochondrial",24.8267,23.9741,26.1081,26.2632,25.3009,26.0234
A6NKD9,CCDC85C,Coiled-coil domain-containing protein 85C,29.3817,27.21,29.3461,28.1539,28.8579,26.8133
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,30.0704,30.4648,30.2753,31.4446,31.2771,31.4194
A8K0Z3,WASHC1,WASH complex subunit 1,25.5155,25.7395,27.8166,27.0854,24.8148,25.2878
A8MTT3,CEBPZOS,Protein CEBPZOS,24.4891,24.5816,25.4759,22.9838,27.1702,27.1759
A8MXV4,NUDT19,Nucleoside diphosphate-linked moiety X motif 19,29.3229,26.4928,27.0025,25.6036,25.1529,24.0058
A9UHW6,MIF4GD,MIF4G domain-containing protein,27.2067,25.2311,26.9855,23.5492,24.076,23.73
B0YJ81,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1,24.981,25.0905,24.6084,25.6607,26.2357,25.4371
B1AK53,ESPN,Espin,33.2157,33.2376,33.4256,30.0855,30.4167,30.5244
B2RUZ4,SMIM1,Small integral membrane protein 1,29.6949,29.5024,29.2861,29.4656,29.6489,29.8465
B5ME19,EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,32.8292,32.7576,32.5411,32.2216,32.0885,31.8367
B7ZAP0,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",26.6674,27.8154,26.5011,25.1411,25.2596,25.2308
C9JLW8,MCRIP1,Mapk-regulated corepressor-interacting protein 1,32.0743,32.0866,32.0257,31.1864,31.106,31.1374
E9PAV3,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",33.1841,33.1756,33.3256,31.6623,31.6347,31.705
H3BR10,SMLR1,Small leucine-rich protein 1,27.26,26.621,26.3168,28.3436,28.4158,28.3762
O00115,DNASE2,Deoxyribonuclease-2-alpha,27.6718,27.6589,28.0485,24.3683,27.7555,28.0737
O00116,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",26.1892,27.0923,27.0328,24.2961,24.388,27.1932
O00148,DDX39A,ATP-dependent RNA helicase DDX39A,26.57,26.6959,25.3086,27.4653,27.9494,27.1576
O00151,PDLIM1,PDZ and LIM domain protein 1,35.8413,35.8271,35.8049,34.8405,34.9162,35.0102
O00154,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,30.0642,29.9425,30.5773,24.4779,25.3902,24.7242
O00159,MYO1C,Unconventional myosin-Ic,27.9547,28.323,28.0072,30.0635,28.7682,28.5348
O00161,SNAP23,Synaptosomal-associated protein 23,32.0158,31.756,31.6022,32.3059,32.2562,32.2193
O00165,HAX1,HCLS1-associated protein X-1,30.443,30.5143,30.3847,31.455,31.2285,31.3519
O00168,FXYD1,Phospholemman,29.8556,29.9343,30.3153,28.3719,28.7835,28.8332
O00170,AIP,AH receptor-interacting protein,31.9658,31.8992,32.0258,28.817,30.0345,29.0666
O00178,GTPBP1,GTP-binding protein 1,27.4152,26.9924,28.9024,25.3478,25.0133,24.2308
O00186,STXBP3,Syntaxin-binding protein 3,28.0706,27.229,27.9038,27.8126,27.8905,28.6235
O00193,SMAP,Small acidic protein,32.4892,32.4417,32.7595,24.3727,30.1837,27.8761
O00203,AP3B1,AP-3 complex subunit beta-1,27.5504,28.2413,27.9605,27.3256,26.8702,25.1165
O00214,LGALS8,Galectin-8,26.3495,25.687,26.1792,27.0141,27.8618,27.0686
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",31.9931,31.802,31.8492,32.0095,32.0684,32.0589
O00221,NFKBIE,NF-kappa-B inhibitor epsilon,26.2033,26.7776,26.939,23.8884,25.1397,25.5351
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,31.3159,31.3075,31.4643,30.5837,30.9349,30.434
O00232,PSMD12,26S proteasome non-ATPase regulatory subunit 12,30.0812,29.8732,30.0721,28.7699,29.1948,29.0184
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9,30.7604,31.3537,31.2998,27.0507,29.5492,26.2155
O00244,ATOX1,Copper transport protein ATOX1,29.3703,31.6237,29.4613,26.8313,26.8216,26.3774
O00255,MEN1,Menin,26.0933,23.76,27.2468,26.6831,27.4189,25.9219
O00257,CBX4,E3 SUMO-protein ligase CBX4,29.7265,29.076,29.2868,30.1831,30.6534,30.7369
O00258,WRB,Tail-anchored protein insertion receptor WRB,25.0429,26.6905,24.3779,26.8228,25.4086,26.2699
O00264,PGRMC1,Membrane-associated progesterone receptor component 1,35.018,35.1764,35.0947,34.981,34.8139,34.8182
O00267,SUPT5H,Transcription elongation factor SPT5,31.2973,31.0187,31.3588,31.2166,31.3993,31.2708
O00268,TAF4,Transcription initiation factor TFIID subunit 4,29.7698,29.3386,29.7153,31.0235,30.9336,30.6433
O00273,DFFA,DNA fragmentation factor subunit alpha,29.3213,29.737,29.6431,24.8447,24.6551,24.4656
O00299,CLIC1,Chloride intracellular channel protein 1,34.5959,34.6596,34.8613,31.5554,32.0211,31.7285
O00303,EIF3F,Eukaryotic translation initiation factor 3 subunit F,30.189,30.4831,30.3252,29.3867,29.7786,29.089
O00308,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,26.434,27.2428,27.2674,27.2867,30.4428,26.5903
O00330,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",32.8206,32.9122,32.7602,33.4111,33.5407,33.5867
O00338,SULT1C2,Sulfotransferase 1C2,24.5341,24.092,24.8935,27.0727,23.9113,24.7483
O00399,DCTN6,Dynactin subunit 6,27.998,28.306,27.1366,23.9854,25.4589,26.1593
O00400,SLC33A1,Acetyl-coenzyme A transporter 1,27.6085,26.4998,25.8964,26.7016,27.9462,27.8163
O00401,WASL,Neural Wiskott-Aldrich syndrome protein,27.8906,28.578,28.6185,26.1498,26.2007,26.2396
O00410,IPO5,Importin-5,29.5637,29.8876,29.3246,26.115,28.1558,27.6047
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial",30.4438,30.1773,28.4778,30.0913,30.8092,30.5548
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,34.0402,33.7073,34.1081,33.1258,33.4811,33.299
O00429,DNM1L,Dynamin-1-like protein,28.5908,29.1369,28.6788,27.426,25.3993,27.064
O00442,RTCA,RNA 3'-terminal phosphate cyclase,26.2417,27.0046,26.7728,25.8145,25.4486,24.9766
O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,28.0776,27.9545,26.97,26.613,26.9606,26.8658
O00461,GOLIM4,Golgi integral membrane protein 4,31.742,31.8081,31.7782,31.5651,31.903,31.8104
O00468,AGRN,Agrin,32.5376,32.4479,32.0243,32.7715,33.0618,33.1416
O00469,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",32.7254,32.671,32.7159,31.5237,31.8952,31.464
O00471,EXOC5,Exocyst complex component 5,23.909,26.597,26.0442,25.2426,26.1413,25.8882
O00472,ELL2,RNA polymerase II elongation factor ELL2,28.1971,27.4892,27.5275,27.9888,27.8346,28.2844
O00479,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,30.9278,31.0191,31.1507,23.6962,30.0827,30.2971
O00483,NDUFA4,Cytochrome c oxidase subunit NDUFA4,31.2634,30.9837,31.1499,31.6158,31.9378,31.5573
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,30.5465,30.7889,30.8941,29.7822,29.2578,29.5394
O00488,ZNF593,Zinc finger protein 593,28.4316,28.5985,28.4028,30.1097,29.3698,29.4829
O00505,KPNA3,Importin subunit alpha-4,30.8232,31.3974,31.3869,30.8081,30.5938,31.0174
O00515,LAD1,Ladinin-1,34.0411,33.9943,34.0005,32.9216,33.2786,33.3025
O00541,PES1,Pescadillo homolog,31.8951,31.9262,31.5413,32.2589,31.9956,32.2024
O00559,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,28.5712,27.542,27.7024,24.9725,28.4645,28.0485
O00560,SDCBP,Syntenin-1,30.6576,27.9898,29.0846,29.6457,30.0217,29.7028
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,31.1304,31.4039,31.0477,31.4159,32.1329,31.8649
O00567,NOP56,Nucleolar protein 56,31.3697,31.3582,31.1252,31.4535,31.7412,31.5744
O00571,DDX3X,ATP-dependent RNA helicase DDX3X,34.3211,34.3872,34.2686,33.5285,33.9274,33.8554
O00584,RNASET2,Ribonuclease T2,33.5775,33.5328,33.6011,31.4026,31.4989,31.5618
O00625,PIR,Pirin,31.2905,31.2382,31.0429,29.7281,28.6591,29.8198
O00629,KPNA4,Importin subunit alpha-3,31.0195,30.9188,30.8725,29.3152,30.3837,30.5143
O00743,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,26.5625,26.774,26.8726,25.6731,25.9336,24.4066
O00754,MAN2B1,Lysosomal alpha-mannosidase,30.2407,29.8887,29.8515,30.4799,30.2894,30.1454
O00762,UBE2C,Ubiquitin-conjugating enzyme E2 C,28.0194,28.2576,28.082,26.4519,25.9223,23.6622
O00764,PDXK,Pyridoxal kinase,30.9512,30.916,31.1787,28.7832,28.64,28.3662
O00767,SCD,Acyl-CoA desaturase,32.3949,32.1294,31.8278,32.3007,32.374,32.3857
O14495,PLPP3,Phospholipid phosphatase 3,28.9564,28.5995,28.6296,30.029,30.199,30.3178
O14497,ARID1A,AT-rich interactive domain-containing protein 1A,32.3387,32.0259,31.8623,32.3104,32.009,32.2805
O14519,CDK2AP1,Cyclin-dependent kinase 2-associated protein 1,30.4533,30.2636,30.4053,30.2893,30.1846,30.2376
O14530,TXNDC9,Thioredoxin domain-containing protein 9,28.3806,28.6653,28.3812,24.9798,24.9838,25.0655
O14548,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",29.41,29.1396,29.0043,28.7991,30.6127,30.1096
O14556,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",26.5402,22.9703,26.8318,24.1487,24.6677,24.9846
O14561,NDUFAB1,"Acyl carrier protein, mitochondrial",29.3789,29.251,29.9026,26.7453,28.5513,30.0236
O14562,UBFD1,Ubiquitin domain-containing protein UBFD1,32.5601,32.6925,32.6199,29.5816,29.4065,29.8474
O14579,COPE,Coatomer subunit epsilon,32.5732,32.3055,32.6004,31.4259,31.6524,31.2482
O14613,CDC42EP2,Cdc42 effector protein 2,27.4567,26.0175,27.3561,24.3002,23.8781,24.3439
O14617,AP3D1,AP-3 complex subunit delta-1,30.8135,31.3125,31.2998,28.5781,28.8221,29.1505
O14618,CCS,Copper chaperone for superoxide dismutase,30.9202,31.1986,31.1583,28.98,29.0589,29.6328
O14638,ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,24.9872,24.3977,24.9459,24.8388,24.8717,23.6118
O14639,ABLIM1,Actin-binding LIM protein 1,29.7131,29.568,29.6744,28.8293,28.8187,28.7949
O14641,DVL2,Segment polarity protein dishevelled homolog DVL-2,27.7038,28.1925,27.9323,25.5319,26.4232,25.1186
O14646,CHD1,Chromodomain-helicase-DNA-binding protein 1,29.3211,28.9058,29.2597,28.6718,28.7721,28.6019
O14647,CHD2,Chromodomain-helicase-DNA-binding protein 2,31.1896,30.8671,29.6166,29.185,29.3797,29.8924
O14653,GOSR2,Golgi SNAP receptor complex member 2,30.6322,30.3153,30.5876,31.25,31.1407,31.4145
O14656,TOR1A,Torsin-1A,24.9828,23.483,24.0008,26.4916,25.5841,24.3064
O14662,STX16,Syntaxin-16,28.2677,28.5861,28.7546,28.744,29.0089,28.9502
O14668,PRRG1,Transmembrane gamma-carboxyglutamic acid protein 1,25.4889,26.0717,24.128,25.9048,26.4232,26.1248
O14672,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,30.8135,30.6309,30.4935,31.2619,31.3245,31.4858
O14681,EI24,Etoposide-induced protein 2.4 homolog,30.313,30.0181,29.275,31.6039,31.1107,31.621
O14686,KMT2D,Histone-lysine N-methyltransferase 2D,29.62,29.8387,29.4836,28.1009,27.7888,29.0971
O14733,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,25.2285,25.4546,25.4452,24.4274,24.2543,24.6403
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,28.1381,27.3316,26.8913,28.4111,28.5854,28.3611
O14735,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,24.9831,23.8269,24.9407,26.3791,26.429,26.0121
O14737,PDCD5,Programmed cell death protein 5,34.1173,34.0835,34.3439,31.8704,31.8398,31.9508
O14744,PRMT5,Protein arginine N-methyltransferase 5,31.0897,31.0439,31.0266,29.0121,29.6506,29.1386
O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,35.7067,35.7648,35.8331,33.8173,33.9819,33.8938
O14757,CHEK1,Serine/threonine-protein kinase Chk1,24.7757,25.1947,25.5203,25.044,24.7796,25.1407
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,26.7171,26.8158,26.9296,30.3163,30.5637,30.0783
O14773,TPP1,Tripeptidyl-peptidase 1,31.9516,31.9319,31.7163,30.7145,30.7385,30.7601
O14776,TCERG1,Transcription elongation regulator 1,32.9898,33.2845,33.3225,32.9995,33.204,33.1888
O14777,NDC80,Kinetochore protein NDC80 homolog,25.7282,24.9777,24.1239,25.4377,23.5942,24.9244
O14787,TNPO2,Transportin-2,25.891,26.3703,25.0608,25.1908,25.6088,25.0457
O14791,APOL1,Apolipoprotein L1,30.9465,30.9844,30.7118,29.9528,26.8448,28.1102
O14802,POLR3A,DNA-directed RNA polymerase III subunit RPC1,29.527,29.1514,29.1524,28.4495,29.3371,28.4597
O14818,PSMA7,Proteasome subunit alpha type-7,33.9071,33.8183,33.882,32.8744,32.975,32.8787
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,32.2564,31.4513,31.4742,32.6519,32.8466,32.7808
O14841,OPLAH,5-oxoprolinase,31.5536,30.931,30.6668,29.6784,28.4373,30.2756
O14874,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",30.5102,29.7406,30.0614,31.0907,31.1585,30.9388
O14893,GEMIN2,Gem-associated protein 2,30.3112,30.4327,30.4688,29.6734,29.2047,29.2416
O14907,TAX1BP3,Tax1-binding protein 3,29.7685,29.9739,29.8131,26.4714,28.9968,28.4803
O14908,GIPC1,PDZ domain-containing protein GIPC1,28.1734,28.2948,28.925,25.7373,28.2575,28.4265
O14910,LIN7A,Protein lin-7 homolog A,29.7748,29.8933,29.7971,30.3528,29.9972,30.2468
O14925,TIMM23,Mitochondrial import inner membrane translocase subunit Tim23,29.4219,29.4738,29.0623,30.4982,30.1039,29.6751
O14929,HAT1,Histone acetyltransferase type B catalytic subunit,27.5754,28.7744,28.8877,25.2875,27.1379,24.3339
O14933,UBE2L6,Ubiquitin/ISG15-conjugating enzyme E2 L6,26.5647,26.5088,26.6185,24.5827,23.9233,24.4181
O14949,UQCRQ,Cytochrome b-c1 complex subunit 8,33.2043,33.0718,33.1475,32.8951,32.76,32.9021
O14950,MYL12B,Myosin regulatory light chain 12B,30.5548,30.3967,30.6805,30.0216,30.0704,30.1426
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,32.2088,32.5577,31.8614,30.927,31.8479,31.6564
O14965,AURKA,Aurora kinase A,26.3125,25.403,27.4021,27.0549,27.9792,27.8232
O14967,CLGN,Calmegin,28.2234,28.5671,28.137,24.1134,28.151,22.557
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,32.0584,32.2571,32.1568,32.0207,31.9497,32.0263
O14975,SLC27A2,Very long-chain acyl-CoA synthetase,26.4525,23.937,25.064,28.5606,28.0686,27.0263
O14976,GAK,Cyclin-G-associated kinase,27.1513,27.2575,27.5646,23.8335,24.0179,25.1665
O14979,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,34.5564,34.3786,34.5158,34.1122,34.5549,34.4941
O14980,XPO1,Exportin-1,30.3583,30.1631,30.4901,28.9595,29.7399,29.5199
O14981,BTAF1,TATA-binding protein-associated factor 172,24.9283,25.421,26.4061,25.7268,23.5182,24.4858
O15014,ZNF609,Zinc finger protein 609,26.7262,24.7051,26.91,27.059,23.2851,25.5341
O15031,PLXNB2,Plexin-B2,30.2539,30.2106,29.9501,31.4701,31.471,31.3427
O15042,U2SURP,U2 snRNP-associated SURP motif-containing protein,33.5975,33.4336,33.3246,33.3718,33.6654,33.78
O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,29.1683,29.1123,29.409,30.4056,30.2335,30.4206
O15056,SYNJ2,Synaptojanin-2,29.5683,29.5029,29.9495,22.9927,24.577,25.4283
O15067,PFAS,Phosphoribosylformylglycinamidine synthase,32.4696,32.7523,32.5178,28.4601,29.5313,29.4649
O15091,KIAA0391,Mitochondrial ribonuclease P catalytic subunit,28.0254,28.2707,28.7934,29.9277,30.5766,29.6013
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1,28.2982,28.4849,29.3903,26.2682,26.6532,26.9996
O15118,NPC1,NPC intracellular cholesterol transporter 1,28.9315,29.6294,29.4018,29.486,29.934,29.2013
O15119,TBX3,T-box transcription factor TBX3,25.7053,26.7294,26.4347,25.367,26.3909,26.732
O15121,DEGS1,Sphingolipid delta(4)-desaturase DES1,26.5338,26.2535,26.443,26.8538,27.329,27.1159
O15126,SCAMP1,Secretory carrier-associated membrane protein 1,29.0506,28.995,29.0389,29.4764,29.1996,29.2338
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,29.9055,29.6163,30.2508,31.2541,30.7628,30.7539
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,31.7137,31.8699,31.8889,30.4355,31.1065,31.2541
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,29.39,29.5158,29.5532,28.5433,28.4917,28.4769
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,32.7071,33.1693,32.9732,32.1494,32.0688,32.178
O15155,BET1,BET1 homolog,28.0984,27.7856,27.346,28.1976,27.475,27.6587
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,29.8467,30.353,30.3866,29.5017,30.3974,29.9637
O15164,TRIM24,Transcription intermediary factor 1-alpha,29.1467,29.6573,28.9902,30.0897,30.4005,30.0724
O15169,AXIN1,Axin-1,27.0533,26.7619,26.3811,25.7528,24.754,27.062
O15173,PGRMC2,Membrane-associated progesterone receptor component 2,33.5687,33.5495,33.4483,33.3433,33.3111,33.2537
O15212,PFDN6,Prefoldin subunit 6,33.4682,33.505,33.601,31.4791,31.4136,31.2265
O15213,WDR46,WD repeat-containing protein 46,27.7211,27.005,27.0269,28.0424,28.5434,29.0541
O15226,NKRF,NF-kappa-B-repressing factor,29.4932,29.7439,30.8204,30.3518,31.3559,30.8053
O15230,LAMA5,Laminin subunit alpha-5,31.3007,31.4425,30.9061,32.4482,32.5619,32.3797
O15232,MATN3,Matrilin-3,25.4803,25.5781,26.1616,23.0215,26.6917,26.2144
O15234,CASC3,Protein CASC3,27.895,28.0798,27.7711,24.9062,27.0567,25.3927
O15235,MRPS12,"28S ribosomal protein S12, mitochondrial",31.1689,30.7005,31.036,30.8012,31.5421,31.1917
O15239,NDUFA1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,29.5125,30.2725,29.8244,30.1999,30.6111,29.9275
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,26.8792,25.4693,25.4291,27.7906,26.8262,26.3254
O15258,RER1,Protein RER1,27.8422,27.8894,28.3012,28.3462,28.2868,27.903
O15260,SURF4,Surfeit locus protein 4,30.8337,30.7748,30.8165,30.7229,31.0182,30.965
O15269,SPTLC1,Serine palmitoyltransferase 1,26.7888,27.6105,27.6779,28.9112,29.69,29.0577
O15270,SPTLC2,Serine palmitoyltransferase 2,24.0107,25.4502,25.9895,23.2467,23.8175,25.7244
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,27.2969,27.3819,27.3976,27.3465,28.2324,28.1307
O15305,PMM2,Phosphomannomutase 2,32.1964,31.7215,32.7208,28.8491,29.0474,29.1828
O15321,TM9SF1,Transmembrane 9 superfamily member 1,27.2554,27.3512,27.9285,29.8374,30.2887,29.5872
O15347,HMGB3,High mobility group protein B3,32.9719,33.0386,33.3577,30.828,30.8902,30.5536
O15355,PPM1G,Protein phosphatase 1G,34.3468,33.515,34.5202,31.081,31.0814,30.9935
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,32.4354,32.5995,32.5149,31.7407,32.1025,31.8844
O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,31.0901,30.6743,30.894,30.4851,30.4232,29.8268
O15381,NVL,Nuclear valosin-containing protein-like,26.2982,23.7632,23.5281,25.3543,27.4174,27.5967
O15392,BIRC5,Baculoviral IAP repeat-containing protein 5,28.5494,28.2418,27.8637,28.6403,28.6708,28.5314
O15400,STX7,Syntaxin-7,32.0789,31.9676,31.9504,32.0948,32.6793,32.3842
O15417,TNRC18,Trinucleotide repeat-containing gene 18 protein,24.7317,24.3204,24.0106,25.2878,25.6715,24.4576
O15427,SLC16A3,Monocarboxylate transporter 4,34.5083,34.4473,34.3732,34.3635,34.1169,34.3369
O15431,SLC31A1,High affinity copper uptake protein 1,27.6182,27.1698,27.5079,27.7959,28.2242,27.6717
O15446,CD3EAP,DNA-directed RNA polymerase I subunit RPA34,31.6817,31.4918,31.366,32.0175,31.992,32.3947
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,35.1039,35.0126,34.9327,34.5549,34.9624,34.7816
O15504,NUPL2,Nucleoporin-like protein 2,24.642,26.9548,27.1644,24.6717,27.8004,28.2875
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,31.695,31.8043,31.8377,30.6022,30.9454,31.0229
O15514,POLR2D,DNA-directed RNA polymerase II subunit RPB4,29.1941,29.2642,29.7651,29.2336,29.8718,29.6142
O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,31.1669,31.2842,31.2981,30.0016,30.3663,30.2778
O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,28.0651,28.1684,28.0866,27.6967,27.8587,27.5597
O15533,TAPBP,Tapasin,31.0759,30.7898,30.8737,32.1708,32.634,32.4743
O15541,RNF113A,RING finger protein 113A,27.3384,28.1632,25.9453,24.8365,24.5946,24.24
O15550,KDM6A,Lysine-specific demethylase 6A,29.9496,29.4259,29.812,29.6503,29.8127,29.501
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,33.0536,32.9627,33.012,32.4539,32.6241,32.6016
O43148,RNMT,mRNA cap guanine-N7 methyltransferase,29.7505,29.6094,29.9466,27.9543,28.6383,28.3136
