ProteinID,Gene,Proximity_Shift_Score,p.value,adj.p.value,significance,significance_raw
O00629,KPNA4,3.874317198,0.003944161,0.081782434,Not Significant,Upregulated Proximity
O15118,NPC1,3.356088035,0.003795145,0.081782434,Not Significant,Upregulated Proximity
O43837,IDH3B,1.270935683,0.00395862,0.081782434,Not Significant,Upregulated Proximity
O75880,SCO1,2.182048547,0.003921174,0.081782434,Not Significant,Upregulated Proximity
P02753,RBP4,3.721050748,0.003966824,0.081782434,Not Significant,Upregulated Proximity
P05388,RPLP0,0.462827976,0.003952877,0.081782434,Not Significant,Not Significant
P07099,EPHX1,3.890598889,0.003465505,0.081782434,Not Significant,Upregulated Proximity
P19338,NCL,-0.463746673,0.003489325,0.081782434,Not Significant,Not Significant
P33240,CSTF2,-0.868705916,0.00349144,0.081782434,Not Significant,Not Significant
P62888,RPL30,0.678670357,0.003685186,0.081782434,Not Significant,Not Significant
P84085,ARF5,1.701213174,0.003687123,0.081782434,Not Significant,Upregulated Proximity
Q14344,GNA13,1.9331292,0.003648585,0.081782434,Not Significant,Upregulated Proximity
Q32P28,P3H1,2.18371281,0.003808121,0.081782434,Not Significant,Upregulated Proximity
Q969P0,IGSF8,4.365458248,0.003983517,0.081782434,Not Significant,Upregulated Proximity
Q9BV57,ADI1,-5.148938969,0.003988443,0.081782434,Not Significant,Downregulated Proximity
Q9C0H2,TTYH3,4.79097108,0.003705021,0.081782434,Not Significant,Upregulated Proximity
P04062,GBA,5.958152417,0.004142774,0.082924504,Not Significant,Upregulated Proximity
P10321,HLA-C,1.755752746,0.004161931,0.082924504,Not Significant,Upregulated Proximity
P29992,GNA11,1.751408956,0.004092707,0.082924504,Not Significant,Upregulated Proximity
Q9BVK6,TMED9,1.529659864,0.004293255,0.084741627,Not Significant,Upregulated Proximity
P13804,ETFA,0.937153358,0.00449744,0.087262697,Not Significant,Not Significant
P42785,PRCP,4.860534667,0.004544932,0.087262697,Not Significant,Upregulated Proximity
Q96QD8,SLC38A2,2.211322436,0.004504084,0.087262697,Not Significant,Upregulated Proximity
O43852,CALU,1.583318704,0.004858558,0.090562428,Not Significant,Upregulated Proximity
P01112,HRAS,1.22602673,0.005059833,0.090562428,Not Significant,Upregulated Proximity
P04004,VTN,3.733581191,0.005030796,0.090562428,Not Significant,Upregulated Proximity
P29279,CTGF,2.925050358,0.004845294,0.090562428,Not Significant,Upregulated Proximity
P46781,RPS9,-0.851628952,0.004996468,0.090562428,Not Significant,Not Significant
Q01650,SLC7A5,1.458892117,0.004848806,0.090562428,Not Significant,Upregulated Proximity
Q14974,KPNB1,0.502792217,0.005013418,0.090562428,Not Significant,Not Significant
Q9P1Y6,PHRF1,-5.309479365,0.005028344,0.090562428,Not Significant,Downregulated Proximity
P04843,RPN1,1.972056666,0.005264075,0.093426274,Not Significant,Upregulated Proximity
O60568,PLOD3,0.602553364,0.005441334,0.094606416,Not Significant,Not Significant
P07306,ASGR1,1.429355687,0.005516303,0.094606416,Not Significant,Upregulated Proximity
P19823,ITIH2,4.219598917,0.005523115,0.094606416,Not Significant,Upregulated Proximity
Q7Z3B4,NUP54,2.012693924,0.005492194,0.094606416,Not Significant,Upregulated Proximity
Q96DV4,MRPL38,2.067990105,0.005554543,0.094606416,Not Significant,Upregulated Proximity
P05165,PCCA,-0.872156204,0.005600765,0.094630521,Not Significant,Not Significant
P14868,DARS,0.798366495,0.005662582,0.094915661,Not Significant,Not Significant
Q16795,NDUFA9,-1.123916778,0.005735047,0.095373382,Not Significant,Downregulated Proximity
P06213,INSR,2.352192094,0.00589588,0.095693055,Not Significant,Upregulated Proximity
Q07065,CKAP4,2.794542329,0.005935507,0.095693055,Not Significant,Upregulated Proximity
Q8TBA6,GOLGA5,5.379176315,0.005818173,0.095693055,Not Significant,Upregulated Proximity
Q8TF01,PNISR,-1.226091236,0.005861059,0.095693055,Not Significant,Downregulated Proximity
P08574,CYC1,2.965654295,0.006077836,0.097245381,Not Significant,Upregulated Proximity
Q14554,PDIA5,1.801099469,0.006265872,0.099500155,Not Significant,Upregulated Proximity
P15311,EZR,1.616926741,0.006735354,0.103080207,Not Significant,Upregulated Proximity
P27487,DPP4,4.178011275,0.006724565,0.103080207,Not Significant,Upregulated Proximity
Q6P6C2,ALKBH5,-2.120255453,0.006662752,0.103080207,Not Significant,Downregulated Proximity
Q96GG9,DCUN1D1,0.424746872,0.006601172,0.103080207,Not Significant,Not Significant
Q9Y625,GPC6,3.037077557,0.006687644,0.103080207,Not Significant,Upregulated Proximity
P50895,BCAM,2.132127257,0.00699022,0.104727252,Not Significant,Upregulated Proximity
P78527,PRKDC,-0.422403366,0.007041321,0.104727252,Not Significant,Not Significant
Q13724,MOGS,2.994236554,0.007024579,0.104727252,Not Significant,Upregulated Proximity
Q96JB5,CDK5RAP3,2.926116798,0.007000759,0.104727252,Not Significant,Upregulated Proximity
O43464,HTRA2,6.639272254,0.007117547,0.1051207,Not Significant,Upregulated Proximity
P62273,RPS29,-0.592676327,0.007264675,0.106548562,Not Significant,Not Significant
Q15262,PTPRK,5.161105777,0.007329445,0.106757158,Not Significant,Upregulated Proximity
O60220,TIMM8A,1.602574163,0.007447111,0.107296447,Not Significant,Upregulated Proximity
P15586,GNS,3.883898382,0.007468077,0.107296447,Not Significant,Upregulated Proximity
P04439,HLA-A,3.16384528,0.007520644,0.107321627,Not Significant,Upregulated Proximity
O95197,RTN3,3.047772411,0.007781345,0.110296642,Not Significant,Upregulated Proximity
O14773,TPP1,10.89099986,0.00793755,0.111760708,Not Significant,Upregulated Proximity
Q96C01,FAM136A,1.566524244,0.008004453,0.111956323,Not Significant,Upregulated Proximity
Q8N163,CCAR2,0.290731826,0.008230907,0.114366282,Not Significant,Not Significant
P07602,PSAP,5.650018721,0.008542859,0.117576316,Not Significant,Upregulated Proximity
P15170,GSPT1,-5.596450505,0.008580109,0.117576316,Not Significant,Downregulated Proximity
Q5VTL8,PRPF38B,-3.465886558,0.008628944,0.117576316,Not Significant,Downregulated Proximity
P33991,MCM4,1.325537618,0.008891021,0.1180996,Not Significant,Upregulated Proximity
Q8TCS8,PNPT1,1.495982155,0.008819523,0.1180996,Not Significant,Upregulated Proximity
Q9BS26,ERP44,2.313446781,0.008871243,0.1180996,Not Significant,Upregulated Proximity
Q9Y2X3,NOP58,0.869962621,0.008881877,0.1180996,Not Significant,Not Significant
P51688,SGSH,7.472826016,0.009180736,0.121185713,Not Significant,Upregulated Proximity
P01024,C3,0.892768684,0.009586449,0.125755155,Not Significant,Not Significant
O43707,ACTN4,1.074561635,0.009720683,0.125995807,Not Significant,Upregulated Proximity
Q6EMK4,VASN,4.391413373,0.009724108,0.125995807,Not Significant,Upregulated Proximity
O15372,EIF3H,1.73149939,0.009858956,0.126427036,Not Significant,Upregulated Proximity
P10586,PTPRF,8.875783565,0.009877112,0.126427036,Not Significant,Upregulated Proximity
O95336,PGLS,-4.854144273,0.010014483,0.12659164,Not Significant,Downregulated Proximity
P05556,ITGB1,3.271076871,0.010026148,0.12659164,Not Significant,Upregulated Proximity
Q9UBB4,ATXN10,2.238324616,0.01006979,0.12659164,Not Significant,Upregulated Proximity
Q15293,RCN1,2.136836106,0.010237671,0.127940597,Not Significant,Upregulated Proximity
Q03252,LMNB2,0.670476239,0.010464467,0.130005616,Not Significant,Not Significant
P23229,ITGA6,2.434387724,0.010652441,0.131163981,Not Significant,Upregulated Proximity
P50897,PPT1,6.537869659,0.010681915,0.131163981,Not Significant,Upregulated Proximity
Q92979,EMG1,3.815058353,0.010771894,0.131504283,Not Significant,Upregulated Proximity
Q9Y6N7,ROBO1,4.45467334,0.010854656,0.131753065,Not Significant,Upregulated Proximity
P05121,SERPINE1,8.318365377,0.011079697,0.132629569,Not Significant,Upregulated Proximity
Q13200,PSMD2,0.658326703,0.011127567,0.132629569,Not Significant,Not Significant
Q13427,PPIG,-0.86786694,0.011095016,0.132629569,Not Significant,Not Significant
Q15149,PLEC,0.541484403,0.01117806,0.132629569,Not Significant,Not Significant
P18084,ITGB5,6.8863196,0.011289128,0.13268833,Not Significant,Upregulated Proximity
Q92786,PROX1,2.148786022,0.01137149,0.13268833,Not Significant,Upregulated Proximity
Q99729,HNRNPAB,-1.086488804,0.011335526,0.13268833,Not Significant,Downregulated Proximity
O95831,AIFM1,0.714129904,0.011709245,0.134606208,Not Significant,Not Significant
P11166,SLC2A1,1.423715863,0.011824643,0.134606208,Not Significant,Upregulated Proximity
P98160,HSPG2,3.457925224,0.011756463,0.134606208,Not Significant,Upregulated Proximity
Q92673,SORL1,11.94304982,0.011777687,0.134606208,Not Significant,Upregulated Proximity
Q9Y3B3,TMED7,3.478169366,0.011854524,0.134606208,Not Significant,Upregulated Proximity
Q5T9A4,ATAD3B,1.726094091,0.011925351,0.134686317,Not Significant,Upregulated Proximity
O43157,PLXNB1,3.080731711,0.012236,0.136206099,Not Significant,Upregulated Proximity
P30048,PRDX3,0.94823514,0.012317881,0.136206099,Not Significant,Not Significant
P62820,RAB1A,0.804093563,0.012126395,0.136206099,Not Significant,Not Significant
Q9Y2G5,POFUT2,1.977878865,0.012258886,0.136206099,Not Significant,Upregulated Proximity
P00533,EGFR,1.433274395,0.012622466,0.138847125,Not Significant,Upregulated Proximity
P60981,DSTN,-0.854155039,0.013397993,0.146614307,Not Significant,Not Significant
P05546,SERPIND1,4.021557994,0.013921633,0.147012443,Not Significant,Upregulated Proximity
P17612,PRKACA,4.024864206,0.013796551,0.147012443,Not Significant,Upregulated Proximity
P49748,ACADVL,1.369085062,0.013890217,0.147012443,Not Significant,Upregulated Proximity
Q14498,RBM39,-0.837469636,0.013913985,0.147012443,Not Significant,Not Significant
Q9BWS9,CHID1,2.580640903,0.013788946,0.147012443,Not Significant,Upregulated Proximity
Q9P2J5,LARS,0.5834292,0.013910905,0.147012443,Not Significant,Not Significant
Q9Y6G9,DYNC1LI1,3.748310604,0.01358102,0.147012443,Not Significant,Upregulated Proximity
P58107,EPPK1,1.818072381,0.014075302,0.147895707,Not Significant,Upregulated Proximity
O15460,P4HA2,1.266055549,0.014220011,0.14848108,Not Significant,Upregulated Proximity
P51970,NDUFA8,1.799837261,0.014271619,0.14848108,Not Significant,Upregulated Proximity
Q92692,NECTIN2,2.297538247,0.014390455,0.14898353,Not Significant,Upregulated Proximity
O75844,ZMPSTE24,2.732362253,0.014614154,0.149306669,Not Significant,Upregulated Proximity
P07919,UQCRH,1.405749089,0.01471853,0.149306669,Not Significant,Upregulated Proximity
P20700,LMNB1,0.810418945,0.014729115,0.149306669,Not Significant,Not Significant
P28799,GRN,8.88024505,0.01452316,0.149306669,Not Significant,Upregulated Proximity
P62195,PSMC5,1.039396195,0.014775139,0.149306669,Not Significant,Upregulated Proximity
P62891,RPL39,-0.512862152,0.014895638,0.149807556,Not Significant,Not Significant
O60313,OPA1,5.662741169,0.015176188,0.149874982,Not Significant,Upregulated Proximity
O60749,SNX2,1.260792147,0.015190906,0.149874982,Not Significant,Upregulated Proximity
O75569,PRKRA,1.730262476,0.015197493,0.149874982,Not Significant,Upregulated Proximity
P01009,SERPINA1,6.102861054,0.015200966,0.149874982,Not Significant,Upregulated Proximity
Q9Y289,SLC5A6,2.568967322,0.01525716,0.149874982,Not Significant,Upregulated Proximity
Q14651,PLS1,0.876705711,0.015404613,0.150622883,Not Significant,Not Significant
P02545,LMNA,0.930700803,0.016190118,0.151578246,Not Significant,Not Significant
P06681,C2,2.776114113,0.016220021,0.151578246,Not Significant,Upregulated Proximity
P13688,CEACAM1,1.955056356,0.01589391,0.151578246,Not Significant,Upregulated Proximity
P40926,MDH2,0.395328371,0.015705264,0.151578246,Not Significant,Not Significant
Q13308,PTK7,3.306902617,0.015836089,0.151578246,Not Significant,Upregulated Proximity
Q13595,TRA2A,-0.518344358,0.016154502,0.151578246,Not Significant,Not Significant
Q15067,ACOX1,2.579273493,0.015891296,0.151578246,Not Significant,Upregulated Proximity
Q15165,PON2,2.594963092,0.015999799,0.151578246,Not Significant,Upregulated Proximity
Q7KZ85,SUPT6H,3.733242769,0.01611956,0.151578246,Not Significant,Upregulated Proximity
Q99523,SORT1,2.276144925,0.015864698,0.151578246,Not Significant,Upregulated Proximity
P41091,EIF2S3,0.695274648,0.016369214,0.152298593,Not Significant,Not Significant
Q9Y624,F11R,3.588112812,0.016515555,0.152986194,Not Significant,Upregulated Proximity
Q6IAA8,LAMTOR1,7.05269311,0.016806779,0.153804085,Not Significant,Upregulated Proximity
Q92896,GLG1,3.194607126,0.01682765,0.153804085,Not Significant,Upregulated Proximity
Q9BTD8,RBM42,-2.069811622,0.016871201,0.153804085,Not Significant,Downregulated Proximity
P14209,CD99,2.228803947,0.017041085,0.154466835,Not Significant,Upregulated Proximity
O00186,STXBP3,2.077560379,0.017176181,0.155026048,Not Significant,Upregulated Proximity
Q9BW92,TARS2,2.29941071,0.017337453,0.15581575,Not Significant,Upregulated Proximity
Q9H307,PNN,-1.179084288,0.017557952,0.157128786,Not Significant,Downregulated Proximity
P05023,ATP1A1,0.482226988,0.017844902,0.159022924,Not Significant,Not Significant
P15144,ANPEP,5.581049248,0.018019551,0.159904585,Not Significant,Upregulated Proximity
O95479,H6PD,3.578097047,0.018388713,0.162497751,Not Significant,Upregulated Proximity
Q92878,RAD50,1.453894607,0.018545033,0.163196288,Not Significant,Upregulated Proximity
Q99624,SLC38A3,3.364458963,0.018657519,0.163504898,Not Significant,Upregulated Proximity
O00115,DNASE2,4.437972414,0.019040191,0.163673158,Not Significant,Upregulated Proximity
O94925,GLS,1.185640999,0.018845106,0.163673158,Not Significant,Upregulated Proximity
P18583,SON,-0.895289324,0.018824693,0.163673158,Not Significant,Not Significant
Q12983,BNIP3,1.133848437,0.019064203,0.163673158,Not Significant,Upregulated Proximity
Q15024,EXOSC7,2.486336,0.018985575,0.163673158,Not Significant,Upregulated Proximity
Q13435,SF3B2,0.669332797,0.01929154,0.164954384,Not Significant,Not Significant
O00231,PSMD11,0.887286782,0.019784872,0.166783493,Not Significant,Not Significant
P06756,ITGAV,5.976394622,0.019709516,0.166783493,Not Significant,Upregulated Proximity
P17301,ITGA2,3.050312977,0.019692284,0.166783493,Not Significant,Upregulated Proximity
Q14257,RCN2,3.199806025,0.019821334,0.166783493,Not Significant,Upregulated Proximity
Q8WYA6,CTNNBL1,0.66130658,0.020383391,0.170832226,Not Significant,Not Significant
P30837,ALDH1B1,-2.140024992,0.020575874,0.171087585,Not Significant,Downregulated Proximity
Q99590,SCAF11,-0.786178355,0.020549502,0.171087585,Not Significant,Not Significant
P69905,HBA1,7.923257373,0.02090798,0.171153698,Not Significant,Upregulated Proximity
Q13136,PPFIA1,3.821833146,0.02083491,0.171153698,Not Significant,Upregulated Proximity
Q969X6,UTP4,2.069191855,0.020693057,0.171153698,Not Significant,Upregulated Proximity
Q99623,PHB2,1.727512924,0.020894896,0.171153698,Not Significant,Upregulated Proximity
Q9Y6M1,IGF2BP2,1.409616039,0.021047211,0.171628222,Not Significant,Upregulated Proximity
Q12907,LMAN2,1.900005789,0.021309481,0.173098553,Not Significant,Upregulated Proximity
P49756,RBM25,-0.609014094,0.021828191,0.175219941,Not Significant,Not Significant
P55884,EIF3B,0.976628558,0.02168825,0.175219941,Not Significant,Not Significant
Q8N5F7,NKAP,-0.844378858,0.021902493,0.175219941,Not Significant,Not Significant
Q9UNH7,SNX6,8.749959903,0.021815413,0.175219941,Not Significant,Upregulated Proximity
P61421,ATP6V0D1,1.767763651,0.021987921,0.175239578,Not Significant,Upregulated Proximity
P20933,AGA,3.969845839,0.022269782,0.17637921,Not Significant,Upregulated Proximity
Q9BYC9,MRPL20,-3.662365234,0.02229794,0.17637921,Not Significant,Downregulated Proximity
P05981,HPN,2.29277767,0.022469754,0.177054364,Not Significant,Upregulated Proximity
P54136,RARS,0.304695367,0.022550958,0.177054364,Not Significant,Not Significant
O15431,SLC31A1,3.427358716,0.022814372,0.177175694,Not Significant,Upregulated Proximity
P17931,LGALS3,-11.34260916,0.022875478,0.177175694,Not Significant,Downregulated Proximity
P22695,UQCRC2,1.078093945,0.022985862,0.177175694,Not Significant,Upregulated Proximity
P35268,RPL22,0.965816969,0.022960632,0.177175694,Not Significant,Not Significant
Q9BZJ0,CRNKL1,2.392222576,0.022931012,0.177175694,Not Significant,Upregulated Proximity
Q53GQ0,HSD17B12,1.239455625,0.023284911,0.178375698,Not Significant,Upregulated Proximity
Q9UKS6,PACSIN3,3.787068578,0.023310461,0.178375698,Not Significant,Upregulated Proximity
Q86W42,THOC6,-36.7169195,0.023594583,0.179898049,Not Significant,Downregulated Proximity
Q9Y2D5,AKAP2,-1.424808383,0.02387383,0.181372403,Not Significant,Downregulated Proximity
Q96DI7,SNRNP40,3.835596405,0.023969703,0.181448073,Not Significant,Upregulated Proximity
P24539,ATP5F1,1.950325587,0.024772549,0.186190831,Not Significant,Upregulated Proximity
Q4VC31,CCDC58,2.438695275,0.024760726,0.186190831,Not Significant,Upregulated Proximity
P53801,PTTG1IP,6.559956685,0.024965406,0.18631427,Not Significant,Upregulated Proximity
Q03167,TGFBR3,2.395243493,0.024913191,0.18631427,Not Significant,Upregulated Proximity
P15529,CD46,1.775585043,0.02523136,0.187636027,Not Significant,Upregulated Proximity
O43678,NDUFA2,-0.975891725,0.026203123,0.189756864,Not Significant,Not Significant
O94874,UFL1,1.559073667,0.026229093,0.189756864,Not Significant,Upregulated Proximity
P02787,TF,1.279748989,0.026470637,0.189756864,Not Significant,Upregulated Proximity
P06576,ATP5F1B,1.033894612,0.02583401,0.189756864,Not Significant,Upregulated Proximity
P30405,PPIF,0.398211484,0.026573903,0.189756864,Not Significant,Not Significant
Q13813,SPTAN1,0.402982376,0.025868975,0.189756864,Not Significant,Not Significant
Q14118,DAG1,3.455360942,0.026594527,0.189756864,Not Significant,Upregulated Proximity
Q15428,SF3A2,2.534528308,0.025852305,0.189756864,Not Significant,Upregulated Proximity
Q9UJZ1,STOML2,1.937376354,0.026594712,0.189756864,Not Significant,Upregulated Proximity
Q9UNL2,SSR3,0.445200555,0.025996167,0.189756864,Not Significant,Not Significant
Q9Y295,DRG1,2.074181791,0.026549319,0.189756864,Not Significant,Upregulated Proximity
O95816,BAG2,3.712442493,0.027230819,0.193641383,Not Significant,Upregulated Proximity
P06865,HEXA,5.267246691,0.027881881,0.196288443,Not Significant,Upregulated Proximity
P36542,ATP5F1C,0.82594939,0.027730299,0.196288443,Not Significant,Not Significant
P62318,SNRPD3,-0.385940264,0.027808805,0.196288443,Not Significant,Not Significant
A3KMH1,VWA8,1.876914705,0.028144058,0.197243799,Not Significant,Upregulated Proximity
Q70UQ0,IKBIP,3.183841668,0.028204369,0.197243799,Not Significant,Upregulated Proximity
Q12797,ASPH,0.605759971,0.028327483,0.197450969,Not Significant,Not Significant
Q9NYU2,UGGT1,1.017947519,0.029067596,0.2019433,Not Significant,Upregulated Proximity
P11047,LAMC1,2.085887637,0.029220107,0.202337268,Not Significant,Upregulated Proximity
Q02318,CYP27A1,3.776650444,0.029509443,0.203673018,Not Significant,Upregulated Proximity
Q8TCT8,SPPL2A,6.66830228,0.029673468,0.204137992,Not Significant,Upregulated Proximity
P49755,TMED10,1.775788005,0.029941028,0.204645471,Not Significant,Upregulated Proximity
Q07157,TJP1,1.533698707,0.02984772,0.204645471,Not Significant,Upregulated Proximity
O00754,MAN2B1,7.047867469,0.030355462,0.206808827,Not Significant,Upregulated Proximity
P02771,AFP,2.154492728,0.030779458,0.20778469,Not Significant,Upregulated Proximity
Q13425,SNTB2,1.938838134,0.030793848,0.20778469,Not Significant,Upregulated Proximity
Q9H9B4,SFXN1,1.080945114,0.030694938,0.20778469,Not Significant,Upregulated Proximity
P01130,LDLR,3.906389949,0.031019429,0.207977886,Not Significant,Upregulated Proximity
